"epoch","elated-water-90 - _step","elated-water-90 - _step__MIN","elated-water-90 - _step__MAX","elated-water-90 - train_loss","elated-water-90 - train_loss__MIN","elated-water-90 - train_loss__MAX"
"0","3","3","3","4289.71240234375","4289.71240234375","4289.71240234375"
"1","6","6","6","4216.505859375","4216.505859375","4216.505859375"
"2","9","9","9","4144.79296875","4144.79296875","4144.79296875"
"3","12","12","12","4073.122314453125","4073.122314453125","4073.122314453125"
"4","15","15","15","4005.136962890625","4005.136962890625","4005.136962890625"
"5","18","18","18","3941.1474609375","3941.1474609375","3941.1474609375"
"6","21","21","21","3879.123291015625","3879.123291015625","3879.123291015625"
"7","24","24","24","3818.5888671875","3818.5888671875","3818.5888671875"
"8","27","27","27","3761.107421875","3761.107421875","3761.107421875"
"9","30","30","30","3700.978515625","3700.978515625","3700.978515625"
"10","33","33","33","3646.65185546875","3646.65185546875","3646.65185546875"
"11","36","36","36","3590.969970703125","3590.969970703125","3590.969970703125"
"12","39","39","39","3535.925537109375","3535.925537109375","3535.925537109375"
"13","42","42","42","3483.3466796875","3483.3466796875","3483.3466796875"
"14","45","45","45","3427.64599609375","3427.64599609375","3427.64599609375"
"15","48","48","48","3379.1513671875","3379.1513671875","3379.1513671875"
"16","51","51","51","3325.835205078125","3325.835205078125","3325.835205078125"
"17","54","54","54","3276.01123046875","3276.01123046875","3276.01123046875"
"18","57","57","57","3228.066650390625","3228.066650390625","3228.066650390625"
"19","60","60","60","3175.209228515625","3175.209228515625","3175.209228515625"
"20","63","63","63","3127.14404296875","3127.14404296875","3127.14404296875"
"21","66","66","66","3079.142333984375","3079.142333984375","3079.142333984375"
"22","69","69","69","3032.341796875","3032.341796875","3032.341796875"
"23","72","72","72","2985.096435546875","2985.096435546875","2985.096435546875"
"24","75","75","75","2936.605712890625","2936.605712890625","2936.605712890625"
"25","78","78","78","2893.18359375","2893.18359375","2893.18359375"
"26","81","81","81","2854.7685546875","2854.7685546875","2854.7685546875"
"27","84","84","84","2799.815673828125","2799.815673828125","2799.815673828125"
"28","87","87","87","2755.00537109375","2755.00537109375","2755.00537109375"
"29","90","90","90","2714.8671875","2714.8671875","2714.8671875"
"30","93","93","93","2670.79931640625","2670.79931640625","2670.79931640625"
"31","96","96","96","2628.306884765625","2628.306884765625","2628.306884765625"
"32","99","99","99","2588.39404296875","2588.39404296875","2588.39404296875"
"33","102","102","102","2544.034912109375","2544.034912109375","2544.034912109375"
"34","105","105","105","2504.09765625","2504.09765625","2504.09765625"
"35","108","108","108","2463.387939453125","2463.387939453125","2463.387939453125"
"36","111","111","111","2423.12841796875","2423.12841796875","2423.12841796875"
"37","114","114","114","2382.438720703125","2382.438720703125","2382.438720703125"
"38","117","117","117","2345.53564453125","2345.53564453125","2345.53564453125"
"39","120","120","120","2310.215087890625","2310.215087890625","2310.215087890625"
"40","123","123","123","2266.871337890625","2266.871337890625","2266.871337890625"
"41","126","126","126","2229.117431640625","2229.117431640625","2229.117431640625"
"42","129","129","129","2193.583251953125","2193.583251953125","2193.583251953125"
"43","132","132","132","2156.651123046875","2156.651123046875","2156.651123046875"
"44","135","135","135","2126.11865234375","2126.11865234375","2126.11865234375"
"45","138","138","138","2084.33740234375","2084.33740234375","2084.33740234375"
"46","141","141","141","2048.860595703125","2048.860595703125","2048.860595703125"
"47","144","144","144","2016.0006103515625","2016.0006103515625","2016.0006103515625"
"48","147","147","147","1984.3958740234375","1984.3958740234375","1984.3958740234375"
"49","150","150","150","1948.4488525390625","1948.4488525390625","1948.4488525390625"
"50","153","153","153","1915.21484375","1915.21484375","1915.21484375"
"51","156","156","156","1880.5516357421875","1880.5516357421875","1880.5516357421875"
"52","159","159","159","1849.44189453125","1849.44189453125","1849.44189453125"
"53","162","162","162","1817.07421875","1817.07421875","1817.07421875"
"54","165","165","165","1788.1239013671875","1788.1239013671875","1788.1239013671875"
"55","168","168","168","1756.50927734375","1756.50927734375","1756.50927734375"
"56","171","171","171","1730.8038330078125","1730.8038330078125","1730.8038330078125"
"57","174","174","174","1692.8299560546875","1692.8299560546875","1692.8299560546875"
"58","177","177","177","1662.58642578125","1662.58642578125","1662.58642578125"
"59","180","180","180","1635.1282958984375","1635.1282958984375","1635.1282958984375"
"60","183","183","183","1608.2294921875","1608.2294921875","1608.2294921875"
"61","186","186","186","1577.9981689453125","1577.9981689453125","1577.9981689453125"
"62","189","189","189","1552.6082763671875","1552.6082763671875","1552.6082763671875"
"63","192","192","192","1523.00439453125","1523.00439453125","1523.00439453125"
"64","195","195","195","1496.00830078125","1496.00830078125","1496.00830078125"
"65","198","198","198","1482.603515625","1482.603515625","1482.603515625"
"66","201","201","201","1439.7684326171875","1439.7684326171875","1439.7684326171875"
"67","204","204","204","1412.216064453125","1412.216064453125","1412.216064453125"
"68","207","207","207","1386.4844970703125","1386.4844970703125","1386.4844970703125"
"69","210","210","210","1368.8782958984375","1368.8782958984375","1368.8782958984375"
"70","213","213","213","1340.4024658203125","1340.4024658203125","1340.4024658203125"
"71","216","216","216","1313.791015625","1313.791015625","1313.791015625"
"72","219","219","219","1289.9288330078125","1289.9288330078125","1289.9288330078125"
"73","222","222","222","1268.8250732421875","1268.8250732421875","1268.8250732421875"
"74","225","225","225","1242.9542236328125","1242.9542236328125","1242.9542236328125"
"75","228","228","228","1221.3277587890625","1221.3277587890625","1221.3277587890625"
"76","231","231","231","1199.7861328125","1199.7861328125","1199.7861328125"
"77","234","234","234","1175.06005859375","1175.06005859375","1175.06005859375"
"78","237","237","237","1157.1279296875","1157.1279296875","1157.1279296875"
"79","240","240","240","1132.1441650390625","1132.1441650390625","1132.1441650390625"
"80","243","243","243","1109.1099853515625","1109.1099853515625","1109.1099853515625"
"81","246","246","246","1086.56298828125","1086.56298828125","1086.56298828125"
"82","249","249","249","1073.452880859375","1073.452880859375","1073.452880859375"
"83","252","252","252","1049.7958984375","1049.7958984375","1049.7958984375"
"84","255","255","255","1025.8253173828125","1025.8253173828125","1025.8253173828125"
"85","258","258","258","1005.279052734375","1005.279052734375","1005.279052734375"
"86","261","261","261","990.9448852539062","990.9448852539062","990.9448852539062"
"87","264","264","264","968.9523315429688","968.9523315429688","968.9523315429688"
"88","267","267","267","952.3624877929688","952.3624877929688","952.3624877929688"
"89","270","270","270","932.5977783203125","932.5977783203125","932.5977783203125"
"90","273","273","273","915.963623046875","915.963623046875","915.963623046875"
"91","276","276","276","896.0140991210938","896.0140991210938","896.0140991210938"
"92","279","279","279","875.9826049804688","875.9826049804688","875.9826049804688"
"93","282","282","282","862.5975952148438","862.5975952148438","862.5975952148438"
"94","285","285","285","843.372802734375","843.372802734375","843.372802734375"
"95","288","288","288","828.2025146484375","828.2025146484375","828.2025146484375"
"96","291","291","291","814.491455078125","814.491455078125","814.491455078125"
"97","294","294","294","795.6343383789062","795.6343383789062","795.6343383789062"
"98","297","297","297","779.9243774414062","779.9243774414062","779.9243774414062"
"99","300","300","300","762.6688232421875","762.6688232421875","762.6688232421875"
"100","303","303","303","746.2297973632812","746.2297973632812","746.2297973632812"
"101","306","306","306","732.4230346679688","732.4230346679688","732.4230346679688"
"102","309","309","309","720.9226684570312","720.9226684570312","720.9226684570312"
"103","312","312","312","707.125","707.125","707.125"
