"epoch","elated-water-90 - _step","elated-water-90 - _step__MIN","elated-water-90 - _step__MAX","elated-water-90 - val_loss","elated-water-90 - val_loss__MIN","elated-water-90 - val_loss__MAX"
"0","2","2","2","4134.5849609375","4134.5849609375","4134.5849609375"
"1","5","5","5","4070.763427734375","4070.763427734375","4070.763427734375"
"2","8","8","8","4006.444091796875","4006.444091796875","4006.444091796875"
"3","11","11","11","3948.172607421875","3948.172607421875","3948.172607421875"
"4","14","14","14","3892.46044921875","3892.46044921875","3892.46044921875"
"5","17","17","17","3838.39990234375","3838.39990234375","3838.39990234375"
"6","20","20","20","3788.168701171875","3788.168701171875","3788.168701171875"
"7","23","23","23","3739.569091796875","3739.569091796875","3739.569091796875"
"8","26","26","26","3691.578857421875","3691.578857421875","3691.578857421875"
"9","29","29","29","3645.330078125","3645.330078125","3645.330078125"
"10","32","32","32","3596.722412109375","3596.722412109375","3596.722412109375"
"11","35","35","35","3551.894287109375","3551.894287109375","3551.894287109375"
"12","38","38","38","3507.44677734375","3507.44677734375","3507.44677734375"
"13","41","41","41","3460.8525390625","3460.8525390625","3460.8525390625"
"14","44","44","44","3418.4560546875","3418.4560546875","3418.4560546875"
"15","47","47","47","3372.865478515625","3372.865478515625","3372.865478515625"
"16","50","50","50","3332.2265625","3332.2265625","3332.2265625"
"17","53","53","53","3289.362548828125","3289.362548828125","3289.362548828125"
"18","56","56","56","3249.636962890625","3249.636962890625","3249.636962890625"
"19","59","59","59","3210.075927734375","3210.075927734375","3210.075927734375"
"20","62","62","62","3168.0205078125","3168.0205078125","3168.0205078125"
"21","65","65","65","3130.090087890625","3130.090087890625","3130.090087890625"
"22","68","68","68","3090.9287109375","3090.9287109375","3090.9287109375"
"23","71","71","71","3052.87646484375","3052.87646484375","3052.87646484375"
"24","74","74","74","3017.3837890625","3017.3837890625","3017.3837890625"
"25","77","77","77","2977.513427734375","2977.513427734375","2977.513427734375"
"26","80","80","80","2942.302978515625","2942.302978515625","2942.302978515625"
"27","83","83","83","2904.43359375","2904.43359375","2904.43359375"
"28","86","86","86","2870.73095703125","2870.73095703125","2870.73095703125"
